기관코드,검사코드,검사명,기기회사,기기,시약회사,시약,검사방법,CCA-25-04,CCA-25-05,CCA-25-06
LAB_136,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxC800,,,,30.0,350.0,1650.0
LAB_137,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,49.0,582.0,2052.0
LAB_138,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i1000,,,,56.6,645.8,2350.7
LAB_139,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i1000,,,,53.0,608.0,2076.0
LAB_140,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,30.539,401.192,1562.178
LAB_141,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,0.046,0.527,1.887
LAB_142,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,26.526,346.373,1554.735
LAB_143,T902,High-Sensitivity Cardiac Troponin I,Ortho Clinical Diagnostics,Vitros3600,,,,20.843,284.8,3763.667
LAB_144,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,ADVIA Centaur® CP Immunoassay System,,,,54.0,785.0,5527.0
LAB_145,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,47.5,547.4,1914.8
LAB_146,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,27.254,353.974,1722.622
LAB_147,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,30.32,363.15,1697.79
LAB_148,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i1000,,,,54.0,612.0,2073.0
LAB_149,T902,High-Sensitivity Cardiac Troponin I,Biomerieux,Vidas,,,,22.6,324.0,4789.3
LAB_150,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i2000,,,,56.0,595.0,2034.0
LAB_151,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,Access2,,,,38.6,520.0,1398.0
LAB_152,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,46.0,533.0,1955.0
LAB_153,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,50.0,509.4,1934.7
LAB_154,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1300 Analyzer,,,,61.0,775.0,5993.0
LAB_155,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,48.0,552.0,1804.0
LAB_156,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i1000,,,,44.0,577.3,1886.6
LAB_157,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,46.2,520.5,1789.9
LAB_158,T902,High-Sensitivity Cardiac Troponin I,Ortho Clinical Diagnostics,Vitros XT7600,,,,20.53,250.7,3987.0
LAB_159,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,52.0,534.0,1958.0
LAB_160,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,46.0,502.0,1870.0
LAB_161,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,50.0,527.0,1949.0
LAB_162,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i1000,,,,54.8,605.6,1980.4
LAB_163,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i2000,,,,63.0,593.0,2206.0
LAB_164,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,44.0,516.0,1934.0
LAB_165,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1300 Analyzer,,,,56.0,814.0,6301.0
LAB_166,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i1000,,,,51.0,575.0,2161.0
LAB_167,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,46.9,532.2,1978.0
LAB_168,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,47.4,535.4,1872.4
LAB_169,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,49.2,526.9,1884.5
LAB_170,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,31.0,379.0,1666.0
LAB_171,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,58.93,784.08,5944.89
LAB_172,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,54.82,782.66,5979.68
LAB_173,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,59.0,796.0,6057.0
LAB_174,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,48.0,530.0,1950.0
LAB_175,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i1000,,,,54.0,605.0,2100.0
LAB_176,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,Access2,,,,27.8,336.3,1450.6
LAB_177,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,Others,,,,28.9,379.7,1357.9
LAB_178,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,30.2,384.4,1795.8
LAB_179,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i2000,,,,65.0,667.0,2347.0
LAB_180,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,50.0,533.0,2003.0
LAB_181,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,41.0,464.0,1706.0
LAB_182,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,50.48,709.15,5770.81
LAB_183,T902,High-Sensitivity Cardiac Troponin I,Abbott,ARCHITECT i1000,,,,57.8,648.9,2072.6
LAB_184,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,49.1,506.3,1795.3
LAB_185,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,33.2,407.7,1701.2
LAB_186,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,30.99,370.57,1783.87
LAB_187,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1600 Analyzer,,,,55.0,741.0,5808.0
LAB_188,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,30.3,372.4,1635.5
LAB_189,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,49.6,531.1,1922.1
LAB_190,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,UniCel DxI800,,,,30.2,366.7,1811.0
LAB_191,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,50.77,564.52,1932.25
LAB_192,T902,High-Sensitivity Cardiac Troponin I,Abbott,Alinity I,,,,47.0,533.0,1909.0
LAB_193,T902,High-Sensitivity Cardiac Troponin I,Siemens Healthineers,Atellica IM 1300 Analyzer,,,,55.0,748.0,5873.0
LAB_194,T902,High-Sensitivity Cardiac Troponin I,Beckman Coulter Inc.,Access2,,,,25.5,327.3,1305.9
